apoCellsMovementProba,needSigCellsMvtProba,layersAroundNLC,antiApoBoost,monoPhagoEff,nlcPhagoEff,macroPhagoEff,macroKillEff,cllSensingDistance,monocyteSensingDistance,nlcSensingDistance,macrophageSensingDistance,nlcThreshold,signalInitMean,signalInitStd,monoDiffThreshold,monoDiffTimeStd,gammaLifeInitRate,gammaLifeInitShape,fitnessVia,fitnessConc,evolution$samples
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1315.2958576673657,611.3599999999999,69.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1315.2958576673657,616.8199999999998,67.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1315.2958576673657,611.3599999999999,71.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1315.2958576673657,617.96,65.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1317.0313171988462,621.5899999999998,54.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1317.0313171988462,617.3899999999999,64.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1318.766776730327,617.96,55.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1318.766776730327,616.8199999999998,53.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1318.766776730327,616.8199999999998,51.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1318.766776730327,617.96,63.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1319.3179033428073,617.3899999999999,62.0
8,7,2,101,35,30,19,1,2,2,1,3,128,71,16,49,38,2320,0.4243041183030591,1319.3179033428073,617.3899999999999,56.0
